"EntrezID","Symbol","Description","P value"
"2889","RAPGEF1","Rap guanine nucleotide exchange factor 1",3.81301656915412e-11
"116985","ARAP1","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",8.22348855678001e-11
"7094","TLN1","talin 1",1.02412744951152e-10
"5230","PGK1","phosphoglycerate kinase 1",1.05012443185615e-10
"3073","HEXA","hexosaminidase subunit alpha",1.09832587469327e-10
"5777","PTPN6","protein tyrosine phosphatase, non-receptor type 6",1.84625537080763e-10
"3516","RBPJ","recombination signal binding protein for immunoglobulin kappa J region",2.29106511540067e-10
"23313","KIAA0930","KIAA0930",2.47531661834444e-10
"23646","PLD3","phospholipase D family member 3",3.07972980451154e-10
"5027","P2RX7","purinergic receptor P2X 7",3.6227754129925e-10
"9909","DENND4B","DENN domain containing 4B",4.20278145618624e-10
"9404","LPXN","leupaxin",4.2343795136901e-10
"2316","FLNA","filamin A",4.56911397606063e-10
"6810","STX4","syntaxin 4",4.57995419367307e-10
"6772","STAT1","signal transducer and activator of transcription 1",5.42704770012392e-10
"23603","CORO1C","coronin 1C",5.73546654614177e-10
"50807","ASAP1","ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",5.90040460934915e-10
"55361","PI4K2A","phosphatidylinositol 4-kinase type 2 alpha",6.07108696648595e-10
"4615","MYD88","myeloid differentiation primary response 88",7.8644046830334e-10
"663","BNIP2","BCL2 interacting protein 2",8.79052386437706e-10
"1522","CTSZ","cathepsin Z",8.93883411734464e-10
"4650","MYO9B","myosin IXB",9.32492194571921e-10
"1326","MAP3K8","mitogen-activated protein kinase kinase kinase 8",9.61683066513785e-10
"427","ASAH1","N-acylsphingosine amidohydrolase 1",1.13384679423234e-09
"54","ACP5","acid phosphatase 5, tartrate resistant",1.18471166210554e-09
"10062","NR1H3","nuclear receptor subfamily 1 group H member 3",1.19838983181353e-09
"4286","MITF","melanogenesis associated transcription factor",1.34813171737136e-09
"1520","CTSS","cathepsin S",1.43752143522136e-09
"3939","LDHA","lactate dehydrogenase A",1.44166412141544e-09
"79180","EFHD2","EF-hand domain family member D2",1.56495461034467e-09
"53827","FXYD5","FXYD domain containing ion transport regulator 5",1.60672630755698e-09
"6533","SLC6A6","solute carrier family 6 member 6",1.6086341148025e-09
"39","ACAT2","acetyl-CoA acetyltransferase 2",1.67444302867636e-09
"2355","FOSL2","FOS like 2, AP-1 transcription factor subunit",1.71336034249236e-09
"1509","CTSD","cathepsin D",1.71439507035132e-09
"56261","GPCPD1","glycerophosphocholine phosphodiesterase 1",1.74734782198982e-09
"23406","COTL1","coactosin like F-actin binding protein 1",1.87570570187034e-09
"10184","LHFPL2","LHFPL tetraspan subfamily member 2",1.89944215911453e-09
"23499","MACF1","microtubule-actin crosslinking factor 1",2.01155281320808e-09
"8767","RIPK2","receptor interacting serine/threonine kinase 2",2.15171747086629e-09
"1508","CTSB","cathepsin B",2.2112663922158e-09
"23312","DMXL2","Dmx like 2",2.73674138906443e-09
"10577","NPC2","NPC intracellular cholesterol transporter 2",2.80759893112048e-09
"79071","ELOVL6","ELOVL fatty acid elongase 6",2.81806189494915e-09
"7378","UPP1","uridine phosphorylase 1",3.04186908994808e-09
"7170","TPM3","tropomyosin 3",3.27378280040591e-09
"2717","GLA","galactosidase alpha",3.8727578921538e-09
"5037","PEBP1","phosphatidylethanolamine binding protein 1",3.92390420156374e-09
"64761","PARP12","poly(ADP-ribose) polymerase family member 12",4.09232026044037e-09
"3455","IFNAR2","interferon alpha and beta receptor subunit 2",4.16515921752847e-09
"65220","NADK","NAD kinase",4.18096313126171e-09
"23259","DDHD2","DDHD domain containing 2",4.19141765739539e-09
"834","CASP1","caspase 1",4.26630353267399e-09
"26088","GGA1","golgi associated, gamma adaptin ear containing, ARF binding protein 1",4.29273927515794e-09
"10479","SLC9A6","solute carrier family 9 member A6",4.38462322005506e-09
"11031","RAB31","RAB31, member RAS oncogene family",4.61216331792969e-09
"92017","SNX29","sorting nexin 29",4.65679983463474e-09
"23215","PRRC2C","proline rich coiled-coil 2C",4.70292316201437e-09
"2519","FUCA2","fucosidase, alpha-L- 2, plasma",4.98632601875215e-09
"56650","CLDND1","claudin domain containing 1",5.05453467969375e-09
"3937","LCP2","lymphocyte cytosolic protein 2",5.15767506481524e-09
"1514","CTSL","cathepsin L",5.52016099497621e-09
"79026","AHNAK","AHNAK nucleoprotein",5.87929926965103e-09
"55589","BMP2K","BMP2 inducible kinase",5.99013305624396e-09
"29887","SNX10","sorting nexin 10",6.33447716502644e-09
"23046","KIF21B","kinesin family member 21B",6.41414255042605e-09
"84144","SYDE2","synapse defective Rho GTPase homolog 2",6.43965525348733e-09
"4599","MX1","MX dynamin like GTPase 1",6.49076770109502e-09
"55604","CARMIL1","capping protein regulator and myosin 1 linker 1",6.53586562648911e-09
"11221","DUSP10","dual specificity phosphatase 10",6.55574783348101e-09
"2885","GRB2","growth factor receptor bound protein 2",6.55947496319698e-09
"23307","FKBP15","FK506 binding protein 15",6.59577514827703e-09
"27","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase",6.78523459640701e-09
"120103","SLC36A4","solute carrier family 36 member 4",6.88875401166911e-09
"79651","RHBDF2","rhomboid 5 homolog 2",7.01199109887085e-09
"2760","GM2A","GM2 ganglioside activator",7.08312464237082e-09
"80830","APOL6","apolipoprotein L6",7.12877645803189e-09
"2622","GAS8","growth arrest specific 8",7.40724548364824e-09
"27071","DAPP1","dual adaptor of phosphotyrosine and 3-phosphoinositides 1",7.67069885387883e-09
"2533","FYB1","FYN binding protein 1",7.92602838917134e-09
"83641","FAM107B","family with sequence similarity 107 member B",8.01860444710201e-09
"254225","RNF169","ring finger protein 169",8.05017597027557e-09
"3663","IRF5","interferon regulatory factor 5",8.22528511967846e-09
"6646","SOAT1","sterol O-acyltransferase 1",8.25151924566114e-09
"51385","ZNF589","zinc finger protein 589",8.32608559875325e-09
"3074","HEXB","hexosaminidase subunit beta",8.61789140049751e-09
"10493","VAT1","vesicle amine transport 1",8.75496097840767e-09
"839","CASP6","caspase 6",8.77008876631891e-09
"10672","GNA13","G protein subunit alpha 13",8.82809159108433e-09
"1040","CDS1","CDP-diacylglycerol synthase 1",9.10826525313269e-09
"10109","ARPC2","actin related protein 2/3 complex subunit 2",9.1375306210395e-09
"55281","TMEM140","transmembrane protein 140",9.33342292341877e-09
"132160","PPM1M","protein phosphatase, Mg2+/Mn2+ dependent 1M",9.59572710179657e-09
"200634","KRTCAP3","keratinocyte associated protein 3",9.68056901307079e-09
"10695","CNPY3","canopy FGF signaling regulator 3",9.71239533242851e-09
"7357","UGCG","UDP-glucose ceramide glucosyltransferase",9.73236558010626e-09
"23207","PLEKHM2","pleckstrin homology and RUN domain containing M2",9.77255443235236e-09
"79961","DENND2D","DENN domain containing 2D",9.83490588968294e-09
"1200","TPP1","tripeptidyl peptidase 1",9.98398452800586e-09
"3422","IDI1","isopentenyl-diphosphate delta isomerase 1",1.00128592084303e-08
"6483","ST3GAL2","ST3 beta-galactoside alpha-2,3-sialyltransferase 2",1.02002137847279e-08
"27292","DIMT1","DIM1 dimethyladenosine transferase 1 homolog",1.02604437168807e-08
"2224","FDPS","farnesyl diphosphate synthase",1.03145801899629e-08
"158056","MAMDC4","MAM domain containing 4",1.04311094206722e-08
"2512","FTL","ferritin light chain",1.06958759626963e-08
"9444","QKI","QKI, KH domain containing RNA binding",1.07742168520275e-08
"56994","CHPT1","choline phosphotransferase 1",1.08469614401585e-08
"81671","VMP1","vacuole membrane protein 1",1.09829165761965e-08
"55785","FGD6","FYVE, RhoGEF and PH domain containing 6",1.10246070050835e-08
"79572","ATP13A3","ATPase 13A3",1.18119847236642e-08
"1890","TYMP","thymidine phosphorylase",1.2358883694219e-08
