"EntrezID","Symbol","Description","P value"
"497189","TIFAB","TIFA inhibitor",9.10382880192628e-15
"116985","ARAP1","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",1.0991207943789e-14
"101928489","AL590428.1","NULL",1.11022302462516e-14
"414196","CELF2-AS1","CELF2 antisense RNA 1",4.01900734914307e-14
"4615","MYD88","myeloid differentiation primary response 88",6.61470878071668e-13
"64499","TPSB2","tryptase beta 2 (gene/pseudogene)",6.79900580280446e-13
"1996","ELAVL4","ELAV like RNA binding protein 4",7.68718422250458e-13
"49861","CLDN20","claudin 20",9.11937192427104e-13
"6810","STX4","syntaxin 4",9.38804589623032e-13
"4286","MITF","melanogenesis associated transcription factor",1.94044780243985e-12
"114614","MIR155HG","MIR155 host gene",2.28173036020962e-12
"663","BNIP2","BCL2 interacting protein 2",2.66586752672993e-12
"4640","MYO1A","myosin IA",2.74158473700936e-12
"6772","STAT1","signal transducer and activator of transcription 1",3.58779672637866e-12
"10824","DIAPH2-AS1","DIAPH2 antisense RNA 1",6.86262158211548e-12
"10630","PDPN","podoplanin",6.99507118895326e-12
"285972","LINC00996","long intergenic non-protein coding RNA 996",7.70716823694784e-12
"23312","DMXL2","Dmx like 2",7.91766652241677e-12
"10672","GNA13","G protein subunit alpha 13",8.49020853621596e-12
"65220","NADK","NAD kinase",9.92739224159322e-12
"23499","MACF1","microtubule-actin crosslinking factor 1",1.13611342555942e-11
"55604","CARMIL1","capping protein regulator and myosin 1 linker 1",1.31366029165747e-11
"23646","PLD3","phospholipase D family member 3",1.45169432030912e-11
"23603","CORO1C","coronin 1C",1.55457868800113e-11
"1200","TPP1","tripeptidyl peptidase 1",1.75262027113376e-11
"55340","GIMAP5","GTPase, IMAP family member 5",2.16126005980755e-11
"55361","PI4K2A","phosphatidylinositol 4-kinase type 2 alpha",2.48810971825719e-11
"26762","HAVCR1","hepatitis A virus cellular receptor 1",2.69213540349256e-11
"79834","PEAK1","pseudopodium enriched atypical kinase 1",3.09453573876795e-11
"4323","MMP14","matrix metallopeptidase 14",3.11058956370402e-11
"160365","CLECL1","C-type lectin like 1",3.29479776794983e-11
"10109","ARPC2","actin related protein 2/3 complex subunit 2",3.62505581108508e-11
"128989","TANGO2","transport and golgi organization 2 homolog",3.75890429893389e-11
"55589","BMP2K","BMP2 inducible kinase",3.75997011303753e-11
"79572","ATP13A3","ATPase 13A3",3.77948783381044e-11
"25927","CNRIP1","cannabinoid receptor interacting protein 1",4.47251125024195e-11
"653653","AC025048.6","NULL",4.55111504038541e-11
"50807","ASAP1","ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",4.58419968651924e-11
"203328","SUSD3","sushi domain containing 3",6.28652685463749e-11
"102465451","MIR6753","microRNA 6753",6.85136392064578e-11
"114793","FMNL2","formin like 2",6.99695856809512e-11
"339192","AC008105.3","NULL",7.74608155396095e-11
"80262","C16orf70","chromosome 16 open reading frame 70",7.77049535827246e-11
"3858","KRT10","keratin 10",7.8076878295974e-11
"6646","SOAT1","sterol O-acyltransferase 1",7.94303511852945e-11
"84678","KDM2B","lysine demethylase 2B",9.42412814453064e-11
"2355","FOSL2","FOS like 2, AP-1 transcription factor subunit",9.54571977018759e-11
"10666","CD226","CD226 molecule",9.95968862937957e-11
"55233","MOB1A","MOB kinase activator 1A",1.03638653214944e-10
"23430","TPSD1","tryptase delta 1",1.1093548302199e-10
"54978","SLC35F6","solute carrier family 35 member F6",1.11136433389447e-10
"653786","AC106788.1","NULL",1.11876063968452e-10
"23307","FKBP15","FK506 binding protein 15",1.26420873769462e-10
"283349","RASSF3","Ras association domain family member 3",1.31263000469062e-10
"730249","ACOD1","aconitate decarboxylase 1",1.34354527503433e-10
"326342","ADGRE4P","adhesion G protein-coupled receptor E4, pseudogene",1.36457400934376e-10
"57569","ARHGAP20","Rho GTPase activating protein 20",1.50092827055914e-10
"8531","YBX3","Y-box binding protein 3",1.70676806021675e-10
"1326","MAP3K8","mitogen-activated protein kinase kinase kinase 8",1.71904823709212e-10
"2017","CTTN","cortactin",1.74257053231486e-10
"93380","MMGT1","membrane magnesium transporter 1",1.80741199784507e-10
"54982","CLN6","CLN6, transmembrane ER protein",1.87698301346018e-10
"10062","NR1H3","nuclear receptor subfamily 1 group H member 3",1.88693616287594e-10
"54328","GPR173","G protein-coupled receptor 173",1.91148208372738e-10
"26088","GGA1","golgi associated, gamma adaptin ear containing, ARF binding protein 1",1.95758964594006e-10
"6336","SCN10A","sodium voltage-gated channel alpha subunit 10",1.97224347964209e-10
"146183","OTOA","otoancorin",2.03970618173344e-10
"411","ARSB","arylsulfatase B",2.08390971145889e-10
"25981","DNAH1","dynein axonemal heavy chain 1",2.11307860098486e-10
"5782","PTPN12","protein tyrosine phosphatase, non-receptor type 12",2.32894814544693e-10
"100505622","AC010247.1","NULL",2.40404585127862e-10
"2316","FLNA","filamin A",2.45757969530302e-10
"107075116","MIR3142HG","MIR3142 host gene",2.6329993740859e-10
"9840","TESPA1","thymocyte expressed, positive selection associated 1",2.66391242398356e-10
"8767","RIPK2","receptor interacting serine/threonine kinase 2",2.67661226516225e-10
"2312","FLG","filaggrin",2.69192668156393e-10
"55342","STRBP","spermatid perinuclear RNA binding protein",2.70219624454171e-10
"23243","ANKRD28","ankyrin repeat domain 28",2.72154521141488e-10
"55625","ZDHHC7","zinc finger DHHC-type containing 7",2.72899480791011e-10
"9260","PDLIM7","PDZ and LIM domain 7",2.79059664265446e-10
"4942","OAT","ornithine aminotransferase",2.95160784702375e-10
"158056","MAMDC4","MAM domain containing 4",3.00777180939349e-10
"92691","TMEM169","transmembrane protein 169",3.32413874204462e-10
"55454","CSGALNACT2","chondroitin sulfate N-acetylgalactosaminyltransferase 2",3.34103522625639e-10
"170954","PPP1R18","protein phosphatase 1 regulatory subunit 18",3.34408944979714e-10
"84144","SYDE2","synapse defective Rho GTPase homolog 2",3.54642315514297e-10
"25898","RCHY1","ring finger and CHY zinc finger domain containing 1",3.63041374740192e-10
"10096","ACTR3","ARP3 actin related protein 3 homolog",3.82046616564935e-10
"79651","RHBDF2","rhomboid 5 homolog 2",3.87077148111814e-10
"9053","MAP7","microtubule associated protein 7",3.89947407697377e-10
"79917","MAGIX","MAGI family member, X-linked",4.14839607110196e-10
"8754","ADAM9","ADAM metallopeptidase domain 9",4.15802503539453e-10
"220929","ZNF438","zinc finger protein 438",4.37093916616504e-10
"79944","L2HGDH","L-2-hydroxyglutarate dehydrogenase",4.40507852417227e-10
"970","CD70","CD70 molecule",4.51044757099339e-10
"80347","COASY","Coenzyme A synthase",4.58795001989643e-10
"28962","OSTM1","osteopetrosis associated transmembrane protein 1",4.90846030487546e-10
"5096","PCCB","propionyl-CoA carboxylase beta subunit",5.07700659291288e-10
"83937","RASSF4","Ras association domain family member 4",5.26824472935061e-10
"80230","RUFY1","RUN and FYVE domain containing 1",5.35363753328966e-10
"254102","EHBP1L1","EH domain binding protein 1 like 1",5.35387623123995e-10
"23515","MORC3","MORC family CW-type zinc finger 3",5.65769431304375e-10
"5777","PTPN6","protein tyrosine phosphatase, non-receptor type 6",5.7575733070081e-10
"51660","MPC1","mitochondrial pyruvate carrier 1",5.91708015917902e-10
"83852","SETDB2","SET domain bifurcated 2",5.9300231392001e-10
"51127","TRIM17","tripartite motif containing 17",5.93271320958877e-10
"114823","LENG8","leukocyte receptor cluster member 8",6.1146954166702e-10
"100505746","ITGB2-AS1","ITGB2 antisense RNA 1",6.34898467133382e-10
"55700","MAP7D1","MAP7 domain containing 1",6.4204297434145e-10
"307","ANXA4","annexin A4",6.4870109284243e-10
"643418","LIPN","lipase family member N",6.60010046615866e-10
"3682","ITGAE","integrin subunit alpha E",6.64565735775113e-10
"9826","ARHGEF11","Rho guanine nucleotide exchange factor 11",6.66154242878747e-10
"90853","SPOCD1","SPOC domain containing 1",6.69230337813076e-10
"5523","PPP2R3A","protein phosphatase 2 regulatory subunit B''alpha",6.72828126546676e-10
"5432","POLR2C","RNA polymerase II subunit C",6.76849798431078e-10
"114294","LACTB","lactamase beta",7.00564495303979e-10
"79567","RIPOR1","RHO family interacting cell polarization regulator 1",7.04469593770796e-10
"7177","TPSAB1","tryptase alpha/beta 1",7.09954428579351e-10
"11221","DUSP10","dual specificity phosphatase 10",7.14733716655758e-10
"79180","EFHD2","EF-hand domain family member D2",7.29599936022396e-10
"91050","CCDC149","coiled-coil domain containing 149",7.55201012836437e-10
"1089","CEACAM4","carcinoembryonic antigen related cell adhesion molecule 4",7.57658380479143e-10
"10695","CNPY3","canopy FGF signaling regulator 3",7.70828512131061e-10
"23151","GRAMD4","GRAM domain containing 4",7.81570808072729e-10
"5051","PAFAH2","platelet activating factor acetylhydrolase 2",7.97753751946573e-10
"6368","CCL23","C-C motif chemokine ligand 23",8.12784728410065e-10
"5151","PDE8A","phosphodiesterase 8A",8.14210698862894e-10
"3073","HEXA","hexosaminidase subunit alpha",8.17159895305508e-10
"57519","STARD9","StAR related lipid transfer domain containing 9",8.29347146513726e-10
"677796","SNORA5C","small nucleolar RNA, H/ACA box 5C",8.42162561909277e-10
"5239","PGM5","phosphoglucomutase 5",8.58664583880397e-10
"5315","PKM","pyruvate kinase, muscle",8.59182502921385e-10
"147138","TMC8","transmembrane channel like 8",8.766265491289e-10
"58495","OVOL2","ovo like zinc finger 2",8.87473317057186e-10
"9363","RAB33A","RAB33A, member RAS oncogene family",9.00713503781958e-10
"10437","IFI30","IFI30, lysosomal thiol reductase",9.31715260499288e-10
