"EntrezID","Symbol","Description","P value"
"5493","PPL","periplakin",4.73724114324892e-06
"117583","PARD3B","par-3 family cell polarity regulator beta",1.31949709081258e-05
"79871","RPAP2","RNA polymerase II associated protein 2",1.38771759896628e-05
"79071","ELOVL6","ELOVL fatty acid elongase 6",2.25783849412409e-05
"285362","SUMF1","sulfatase modifying factor 1",2.73807767307011e-05
"5565","PRKAB2","protein kinase AMP-activated non-catalytic subunit beta 2",3.36420757761635e-05
"6235","RPS29","ribosomal protein S29",3.86751592986734e-05
"307","ANXA4","annexin A4",4.12449552238403e-05
"1457","CSNK2A1","casein kinase 2 alpha 1",4.31902111999172e-05
"282890","ZNF311","zinc finger protein 311",5.24136263916342e-05
"57515","SERINC1","serine incorporator 1",7.30435184959077e-05
"55972","SLC25A40","solute carrier family 25 member 40",7.45822261414286e-05
"79173","C19orf57","chromosome 19 open reading frame 57",7.5601982039486e-05
"9706","ULK2","unc-51 like autophagy activating kinase 2",7.72324205977615e-05
"79960","JADE1","jade family PHD finger 1",7.83080432602556e-05
"663","BNIP2","BCL2 interacting protein 2",8.00233385642724e-05
"22982","DIP2C","disco interacting protein 2 homolog C",9.52937639306928e-05
"8310","ACOX3","acyl-CoA oxidase 3, pristanoyl",0.000101088541600736
"816","CAMK2B","calcium/calmodulin dependent protein kinase II beta",0.000104526294494089
"6132","RPL8","ribosomal protein L8",0.000105880948396253
"4286","MITF","melanogenesis associated transcription factor",0.000112767792734614
"39","ACAT2","acetyl-CoA acetyltransferase 2",0.000115297982252294
"145173","B3GLCT","beta 3-glucosyltransferase",0.000118570873116508
"353189","SLCO4C1","solute carrier organic anion transporter family member 4C1",0.000121855848663643
"222166","MTURN","maturin, neural progenitor differentiation regulator homolog",0.000127359989361198
"1501","CTNND2","catenin delta 2",0.000130727488346416
"6176","RPLP1","ribosomal protein lateral stalk subunit P1",0.000130846812974816
"3422","IDI1","isopentenyl-diphosphate delta isomerase 1",0.000141290667003968
"59277","NTN4","netrin 4",0.000142561337534097
"6856","SYPL1","synaptophysin like 1",0.000143370627582629
"25959","KANK2","KN motif and ankyrin repeat domains 2",0.000149369883400308
"283209","PGM2L1","phosphoglucomutase 2 like 1",0.000152786916199688
"6228","RPS23","ribosomal protein S23",0.000154504854101845
"6227","RPS21","ribosomal protein S21",0.000155025695330879
"6142","RPL18A","ribosomal protein L18a",0.000157706643495903
"1936","EEF1D","eukaryotic translation elongation factor 1 delta",0.00016096924601483
"6134","RPL10","ribosomal protein L10",0.000163836136121587
"55735","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11",0.000178002971213287
"79956","ERMP1","endoplasmic reticulum metallopeptidase 1",0.000178480010173621
"81603","TRIM8","tripartite motif containing 8",0.000183820164063153
"3006","HIST1H1C","histone cluster 1 H1 family member c",0.000185500256890903
"2065","ERBB3","erb-b2 receptor tyrosine kinase 3",0.000185969442044076
"8766","RAB11A","RAB11A, member RAS oncogene family",0.000185988671650872
"4615","MYD88","myeloid differentiation primary response 88",0.000189581744502787
"79644","SRD5A3","steroid 5 alpha-reductase 3",0.000191620517011382
"6728","SRP19","signal recognition particle 19",0.00019324939841614
"6175","RPLP0","ribosomal protein lateral stalk subunit P0",0.000195774452931508
"37","ACADVL","acyl-CoA dehydrogenase, very long chain",0.000197168308679552
"51429","SNX9","sorting nexin 9",0.000198215560179182
"5611","DNAJC3","DnaJ heat shock protein family (Hsp40) member C3",0.000206067136066523
"3177","SLC29A2","solute carrier family 29 member 2",0.000209131283656072
"79783","SUGCT","succinyl-CoA:glutarate-CoA transferase",0.000210503087583191
"6193","RPS5","ribosomal protein S5",0.000211732727309344
"6223","RPS19","ribosomal protein S19",0.000222851100865062
"11224","RPL35","ribosomal protein L35",0.000230052551623006
"57407","NMRAL1","NmrA like redox sensor 1",0.000238425521670083
"55326","AGPAT5","1-acylglycerol-3-phosphate O-acyltransferase 5",0.000244242995303567
"8991","SELENBP1","selenium binding protein 1",0.000250331687113414
"6181","RPLP2","ribosomal protein lateral stalk subunit P2",0.000252374291005664
"10952","SEC61B","Sec61 translocon beta subunit",0.000257456195316808
"4752","NEK3","NIMA related kinase 3",0.000259662264521343
"51067","YARS2","tyrosyl-tRNA synthetase 2",0.000263640457157877
"2308","FOXO1","forkhead box O1",0.000265796507173732
"6157","RPL27A","ribosomal protein L27a",0.000267313331549168
"50848","F11R","F11 receptor",0.000267581308954101
"54899","PXK","PX domain containing serine/threonine kinase like",0.000269220606542886
"10922","FASTK","Fas activated serine/threonine kinase",0.000274022220636883
"85236","HIST1H2BK","histone cluster 1 H2B family member k",0.000277254443497132
"51302","CYP39A1","cytochrome P450 family 39 subfamily A member 1",0.000278289794205966
"8754","ADAM9","ADAM metallopeptidase domain 9",0.000280986458727428
"6206","RPS12","ribosomal protein S12",0.000281548459960423
"5836","PYGL","glycogen phosphorylase L",0.000286425236462384
"27173","SLC39A1","solute carrier family 39 member 1",0.000289226544672117
"5037","PEBP1","phosphatidylethanolamine binding protein 1",0.000292532703154436
"221079","ARL5B","ADP ribosylation factor like GTPase 5B",0.000299294002659822
"7436","VLDLR","very low density lipoprotein receptor",0.000304253684287881
"26035","GLCE","glucuronic acid epimerase",0.000309604479286518
"6135","RPL11","ribosomal protein L11",0.00031067574854915
"128869","PIGU","phosphatidylinositol glycan anchor biosynthesis class U",0.000311373280444061
"6319","SCD","stearoyl-CoA desaturase",0.000312190793070766
"961","CD47","CD47 molecule",0.000314662559431467
"22902","RUFY3","RUN and FYVE domain containing 3",0.000316385255775264
"6625","SNRNP70","small nuclear ribonucleoprotein U1 subunit 70",0.000319119375446375
"6130","RPL7A","ribosomal protein L7a",0.000322175711714778
"55924","FAM212B","family with sequence similarity 212 member B",0.0003237810405472
"27336","HTATSF1","HIV-1 Tat specific factor 1",0.000335242049367634
"55553","SOX6","SRY-box 6",0.000335414832948966
"2548","GAA","glucosidase alpha, acid",0.000339985902374496
"8970","HIST1H2BJ","histone cluster 1 H2B family member j",0.000342601735260462
"27","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase",0.000347834067145891
"5898","RALA","RAS like proto-oncogene A",0.00034931797571458
