"KEGGID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","KEGGClassNames","Genes"
"03010",5.13190832199809e-26,10.8256880733945,12.3960737041502,55,88,"Ribosome","Genetic Information Processing; Translation","FAU, RPSA, RPL10A, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL9, RPL10, RPL11, RPL12, RPL13, RPL17, RPL18A, RPL19, RPL21, RPL23A, RPL24, RPL27, RPL30, RPL27A, RPL28, RPL29, RPL31, RPL34, RPL36AL, RPL37, RPL41, RPLP0, RPLP1, RPLP2, RPS2, RPS3, RPS3A, RPS5, RPS6, RPS7, RPS9, RPS12, RPS15, RPS17, RPS18, RPS19, RPS20, RPS21, RPS23, RPS24, RPS29, UBA52, RPL35, RPL13A, RPL36, RPL26L1"
"00900",0.000384859354556393,7.02927689594356,2.11296710866196,8,15,"Terpenoid backbone biosynthesis","Metabolism; Metabolism of terpenoids and polyketides","ACAT2, FDPS, HMGCR, MVK, GGPS1, PMVK, PDSS2, DHDDS"
"03060",0.000108376287306193,5.65334572490706,3.23988289994834,11,23,"Protein export","Genetic Information Processing; Folding, sorting and degradation","HSPA5, SRP9, SRP19, SRP54, SRP68, SRP72, SEC62, SEC61B, SEC63, SEC61G, SPCS3"
"00604",0.00245926631232097,5.37407521578298,2.11296710866196,7,15,"Glycosphingolipid biosynthesis - ganglio series","Metabolism; Glycan biosynthesis and metabolism","HEXB, ST3GAL1, ST8SIA1, B3GALT4, ST3GAL5, ST6GALNAC4, ST6GALNAC6"
"00100",0.00268288449052366,4.4695847362514,2.67642500430515,8,19,"Steroid biosynthesis","Metabolism; Lipid metabolism","CEL, DHCR7, FDFT1, SC5D, SOAT1, TM7SF2, EBP, HSD17B7"
"00563",0.00127902769173464,4.1039603960396,3.52161184776993,10,25,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","Metabolism; Glycan biosynthesis and metabolism","PIGF, PIGL, PIGK, PIGN, PIGG, PIGX, PIGO, PIGM, PIGS, PIGU"
"01040",0.00557433704074671,3.78043684710351,2.95815395212674,8,21,"Biosynthesis of unsaturated fatty acids","Metabolism; Lipid metabolism","SCD, ACOX3, HACD1, TECR, HSD17B12, ELOVL5, SCD5, HACD2"
"04142",6.61094387123941e-07,2.87964164349707,17.0446013432065,38,121,"Lysosome","Cellular Processes; Transport and catabolism","ABCA2, ARSA, ATP6V0B, ATP6V0A1, ATP6AP1, SCARB2, CD63, CLN5, CLTC, CTSL, CTSS, DNASE2, FUCA1, GUSB, HEXB, IDS, LAMP1, LAMP2, M6PR, CTSA, PPT1, LGMN, PSAP, SORT1, SMPD1, CTSF, CD164, ATP6V0D1, PPT2, LAPTM4A, TCIRG1, NPC2, AP3M2, SLC17A5, LAPTM4B, GNPTAB, MFSD8, SUMF1"
"03410",0.0100123659128829,2.79421692169217,4.50766316514551,10,32,"Base excision repair","Genetic Information Processing; Replication and repair","PARP1, PARP4, FEN1, OGG1, POLB, POLD1, TDG, PARP2, POLL, NEIL1"
"00512",0.0188059113092038,2.6318205897934,4.22593421732392,9,30,"Mucin type O-glycan biosynthesis","Metabolism; Glycan biosynthesis and metabolism","GALNT2, GALNT3, GCNT1, ST3GAL1, GALNT6, GALNT5, C1GALT1C1, GALNT16, GALNT15"
"00970",0.00881815344790869,2.54641909814324,5.77544343034269,12,41,"Aminoacyl-tRNA biosynthesis","Genetic Information Processing; Translation","CARS1, EPRS1, GARS1, MARS1, QARS1, RARS1, SARS1, TARS1, WARS1, YARS1, IARS2, EARS2"
"03008",0.00287080468380186,2.24834814308499,10.5648355433098,20,75,"Ribosome biogenesis in eukaryotes","Genetic Information Processing; Translation","CSNK2A1, DKC1, FBL, SNU13, NVL, RAN, NXF1, UTP14A, WDR3, MDN1, GNL2, NMD3, SBDS, NOP58, GNL3L, HEATR1, RIOK2, NOL6, WDR75, WDR36"
"00520",0.0307615234215958,2.04838709677419,6.76149474771827,12,48,"Amino sugar and nucleotide sugar metabolism","Metabolism; Carbohydrate metabolism","CHIT1, CYB5R3, GALK2, GMDS, HEXB, HK2, GFUS, UGDH, CYB5R1, CMAS, UXS1, NPL"
"00600",0.0464167153693255,2.04579207920792,5.63457895643189,10,40,"Sphingolipid metabolism","Metabolism; Lipid metabolism","ARSA, KDSR, SMPD1, DEGS1, PLPP2, SGPL1, SPTLC2, SPTLC1, NEU3, CERK"
"04012",0.0314138705486316,1.72088272104837,12.2552092302394,19,87,"ErbB signaling pathway","Environmental Information Processing; Signal transduction","ABL1, ABL2, AKT1, AREG, CAMK2G, CDKN1B, EGF, EGFR, EIF4EBP1, ERBB3, NRG1, PIK3CD, PIK3R1, MAP2K2, RPS6KB1, SHC1, SOS2, STAT5A, CBLC"
"03040",0.0291324246209384,1.58875887588759,17.8897881866713,26,127,"Spliceosome","Genetic Information Processing; Transcription","DDX5, DHX8, HNRNPA1, HNRNPC, NCBP1, SNU13, SRSF2, TRA2B, SNRNP70, SNRPD2, DDX39B, SRSF9, SNRNP40, AQR, RBM8A, SF3B4, SRSF10, TCERG1, SF3B2, U2AF2, PRPF6, RBMX, LSM7, RBM22, SF3B5, PRPF38A"
