"KEGGID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","KEGGClassNames","Genes"
"00061",0.037889620808234,7.7270732777534,2.35991045290167,5,6,"Fatty acid biosynthesis","Metabolism; Lipid metabolism","ACACA, ACACB, FASN, MCAT, OLAH"
"03010",1.53949231904612e-15,6.61667685601127,34.6120199758912,71,88,"Ribosome","Genetic Information Processing; Translation","RPSA, RNR1, RNR2, RPL10A, RPL3, RPL4, RPL5, RPL6, RPL7, RPL7A, RPL8, RPL11, RPL12, RPL13, RPL15, RPL18, RPL18A, RPL19, RPL21, RPL22, RPL23A, RPL24, RPL26, RPL27, RPL30, RPL27A, RPL28, RPL31, RPL32, RPL34, RPL35A, RPL36AL, RPL37, RPL37A, RPL38, RPL39, RPL41, RPLP0, RPLP1, RPLP2, RPS2, RPS3, RPS3A, RPS4X, RPS5, RPS6, RPS7, RPS9, RPS11, RPS12, RPS14, RPS15, RPS15A, RPS16, RPS17, RPS18, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27A, RPS29, RPL14, RPL23, RPL35, RPL13A, RPL36, MRPL13, RPL26L1, RPL22L1"
"00900",0.00160104524093758,6.19718309859155,5.89977613225418,12,15,"Terpenoid backbone biosynthesis","Metabolism; Metabolism of terpenoids and polyketides","ACAT1, ACAT2, FDPS, HMGCS1, IDI1, MVD, MVK, GGPS1, PMVK, PDSS1, PDSS2, DHDDS"
"00072",0.0225626607674299,5.41216512955643,3.53986567935251,7,9,"no info","no info","ACAT1, ACAT2, BDH1, HMGCL, HMGCS1, OXCT1, BDH2"
"00511",0.00207728234291321,5.03599735799207,6.68641294988807,13,17,"Other glycan degradation","Metabolism; Glycan biosynthesis and metabolism","FUCA1, FUCA2, GBA1, GLB1, HEXA, HEXB, MAN2C1, MAN2B1, MANBA, NEU1, NEU3, ENGASE, HEXD"
"00062",0.0456819996898486,4.6369622475856,3.14654727053556,6,8,"Fatty acid elongation","Metabolism; Lipid metabolism","ECHS1, HADHB, HADH, PPT1, PPT2, ACAA2"
"00603",0.0152522571384804,3.86873350923483,5.50645772343723,10,14,"Glycosphingolipid biosynthesis - globo and isoglobo series","Metabolism; Glycan biosynthesis and metabolism","FUT2, GLA, HEXA, HEXB, NAGA, ST3GAL1, ST3GAL2, ST8SIA1, B3GALT5, GBGT1"
"00520",9.04379413395462e-06,3.78749206349206,18.8792836232134,34,48,"Amino sugar and nucleotide sugar metabolism","Metabolism; Carbohydrate metabolism","CHI3L1, CHIT1, CYB5R3, GALE, GALK1, GALK2, GALT, GFPT1, GMDS, GPI, HEXA, HEXB, HK1, HK2, MPI, PGM1, PGM3, PMM2, RENBP, UAP1, GFUS, GNPDA1, GNE, GMPPB, GMPPA, AMDHD2, CYB5R2, NANS, PGM2, NAGK, CMAS, GNPNAT1, UXS1, UAP1L1"
"04142",1.28099516482699e-11,3.59734643734644,47.5915274668504,84,121,"Lysosome","Cellular Processes; Transport and catabolism","ABCA2, ACP2, ACP5, AP1G1, ARSA, ARSB, ASAH1, ATP6V0B, ATP6V0A1, ATP6AP1, CTSC, AP1S1, TPP1, CLN3, CLN5, CLTA, CLTB, CLTC, CTSB, CTSD, CTSH, CTSL, CTSO, CTSS, CTSZ, DNASE2, FUCA1, GAA, GALC, GALNS, GBA1, GLA, GLB1, GM2A, GNS, GUSB, HEXA, HEXB, IDS, IGF2R, LAMP1, LAMP2, LIPA, MAN2B1, MANBA, NAGA, NAGLU, NEU1, NPC1, SLC11A2, CTSA, PPT1, LGMN, PSAP, SGSH, SMPD1, LAPTM5, CLTCL1, CD164, AP3D1, PPT2, AP1M2, AP3S2, TCIRG1, NPC2, AP3M2, AP4S1, ARSG, GGA2, GGA3, AP4E1, ABCB9, ATP6V0A2, PLA2G15, GGA1, AP3M1, NAGPA, ATP6V1H, LAPTM4B, MCOLN1, AP1S3, HGSNAT, MFSD8, SUMF1"
"03060",0.00319587917677748,3.54346182917612,9.04632340278974,16,23,"Protein export","Genetic Information Processing; Folding, sorting and degradation","SRP14, SRP19, SRP54, SRP68, SRP72, SRPRA, SEC62, SEC61B, SEC11A, SEC61G, SEC61A1, SEC61A2, SRPRB, SPCS3, IMMP2L, IMMP1L"
"00640",0.000701462486216979,3.41671087533157,12.5861890821422,22,32,"Propanoate metabolism","Metabolism; Carbohydrate metabolism","ACACA, ACACB, ACADM, ACAT1, ACAT2, ALDH2, ALDH9A1, ALDH3A2, ALDH7A1, ECHS1, EHHADH, LDHA, LDHB, ALDH6A1, MMUT, PCCA, PCCB, SUCLG2, SUCLA2, MLYCD, HIBCH, ACSS2"
