"EntrezID","Symbol","Description","P value"
"116985","ARAP1","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",2.8199664825479e-14
"4615","MYD88","myeloid differentiation primary response 88",1.33926203460533e-12
"4286","MITF","melanogenesis associated transcription factor",2.14395168285364e-12
"6810","STX4","syntaxin 4",2.99515967583375e-12
"10672","GNA13","G protein subunit alpha 13",4.47819559212803e-12
"663","BNIP2","BCL2 interacting protein 2",7.40985051095322e-12
"6772","STAT1","signal transducer and activator of transcription 1",7.94853072250135e-12
"23312","DMXL2","Dmx like 2",1.05784270232334e-11
"65220","NADK","NAD kinase",1.07363007373351e-11
"23646","PLD3","phospholipase D family member 3",1.16822107543157e-11
"23499","MACF1","microtubule-actin crosslinking factor 1",1.41386902186014e-11
"55361","PI4K2A","phosphatidylinositol 4-kinase type 2 alpha",1.41394673747186e-11
"23603","CORO1C","coronin 1C",1.42121869828316e-11
"1200","TPP1","tripeptidyl peptidase 1",1.75346404063248e-11
"55604","CARMIL1","capping protein regulator and myosin 1 linker 1",2.08633110787559e-11
"4323","MMP14","matrix metallopeptidase 14",2.13880024801938e-11
"79834","PEAK1","pseudopodium enriched atypical kinase 1",2.31685781670876e-11
"79572","ATP13A3","ATPase 13A3",2.84980927744982e-11
"10109","ARPC2","actin related protein 2/3 complex subunit 2",3.3128166876395e-11
"26088","GGA1","golgi associated, gamma adaptin ear containing, ARF binding protein 1",3.52895490607352e-11
"128989","TANGO2","transport and golgi organization 2 homolog",3.777078649847e-11
"80262","C16orf70","chromosome 16 open reading frame 70",3.81850107089576e-11
"55589","BMP2K","BMP2 inducible kinase",4.55839810342695e-11
"114793","FMNL2","formin like 2",6.60378418615437e-11
"6646","SOAT1","sterol O-acyltransferase 1",6.76094735752031e-11
"50807","ASAP1","ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",7.2693739916474e-11
"54978","SLC35F6","solute carrier family 35 member F6",7.54856177564989e-11
"411","ARSB","arylsulfatase B",7.55950857467269e-11
"2017","CTTN","cortactin",8.74464944899955e-11
"84678","KDM2B","lysine demethylase 2B",1.00828234650407e-10
"55233","MOB1A","MOB kinase activator 1A",1.10627951244169e-10
"54982","CLN6","CLN6, transmembrane ER protein",1.15780052212244e-10
"283349","RASSF3","Ras association domain family member 3",1.3590306657818e-10
"23307","FKBP15","FK506 binding protein 15",1.4364009981449e-10
"2355","FOSL2","FOS like 2, AP-1 transcription factor subunit",1.44361411713589e-10
"158056","MAMDC4","MAM domain containing 4",1.46609169249245e-10
"55625","ZDHHC7","zinc finger DHHC-type containing 7",1.66166080894925e-10
"8754","ADAM9","ADAM metallopeptidase domain 9",1.71149761030165e-10
"25981","DNAH1","dynein axonemal heavy chain 1",1.75737535634823e-10
"10062","NR1H3","nuclear receptor subfamily 1 group H member 3",2.00684802109663e-10
"5782","PTPN12","protein tyrosine phosphatase, non-receptor type 12",2.35357400235614e-10
"1326","MAP3K8","mitogen-activated protein kinase kinase kinase 8",2.4883850535673e-10
"55454","CSGALNACT2","chondroitin sulfate N-acetylgalactosaminyltransferase 2",2.50882759011972e-10
"23151","GRAMD4","GRAM domain containing 4",2.91371260452422e-10
"4942","OAT","ornithine aminotransferase",2.94892776864231e-10
"79917","MAGIX","MAGI family member, X-linked",2.95035995634407e-10
"25898","RCHY1","ring finger and CHY zinc finger domain containing 1",2.97143643024356e-10
"79415","C17orf62","chromosome 17 open reading frame 62",3.14267500911569e-10
"2316","FLNA","filamin A",3.14362980091687e-10
"80347","COASY","Coenzyme A synthase",3.17112336389869e-10
"114823","LENG8","leukocyte receptor cluster member 8",3.3388669606893e-10
"5151","PDE8A","phosphodiesterase 8A",3.37043504217149e-10
"10493","VAT1","vesicle amine transport 1",3.47552653323646e-10
"2885","GRB2","growth factor receptor bound protein 2",3.5366365391809e-10
"3858","KRT10","keratin 10",3.69181907267091e-10
"3682","ITGAE","integrin subunit alpha E",3.8675507241237e-10
"254102","EHBP1L1","EH domain binding protein 1 like 1",3.92037291518932e-10
"220929","ZNF438","zinc finger protein 438",4.17270440422612e-10
"79651","RHBDF2","rhomboid 5 homolog 2",4.18697299053861e-10
"84144","SYDE2","synapse defective Rho GTPase homolog 2",4.21475077061473e-10
"10695","CNPY3","canopy FGF signaling regulator 3",4.32022528862319e-10
"8767","RIPK2","receptor interacting serine/threonine kinase 2",4.36221059274544e-10
"170954","PPP1R18","protein phosphatase 1 regulatory subunit 18",4.42914926956917e-10
"93380","MMGT1","membrane magnesium transporter 1",4.51511605881194e-10
"28962","OSTM1","osteopetrosis associated transmembrane protein 1",4.61745752744491e-10
"8531","YBX3","Y-box binding protein 3",4.75657513376859e-10
"83937","RASSF4","Ras association domain family member 4",4.87109241831263e-10
"10096","ACTR3","ARP3 actin related protein 3 homolog",4.98827756878484e-10
"55342","STRBP","spermatid perinuclear RNA binding protein",5.64736146735356e-10
"1500","CTNND1","catenin delta 1",5.67602520540333e-10
"80230","RUFY1","RUN and FYVE domain containing 1",5.81974690661013e-10
"79567","RIPOR1","RHO family interacting cell polarization regulator 1",5.83780357388264e-10
"3073","HEXA","hexosaminidase subunit alpha",5.96376725781056e-10
